num,title_en_x,link_en,difficulty_x,acp_x,title_en2,title_cn,link_cn,difficulty_y,acp_y,title_en_y,question_descriptions
1,Two Sum,https://leetcode.com/problems/two-sum/description/,Easy,38.3%,Two Sum,两数之和,https://leetcode-cn.com/problems/two-sum/description/,简单,45.0%,Two Sum,"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>给定一个整数数组和一个目标值，找出数组中和为目标值的<strong>两个</strong>数。</p>
<p>你可以假设每个输入只对应一种答案，且同样的元素不能被重复利用。</p>
<p><strong>示例:</strong></p>
<pre>给定 nums = [2, 7, 11, 15], target = 9

因为 nums[<strong>0</strong>] + nums[<strong>1</strong>] = 2 + 7 = 9
所以返回 [<strong>0, 1</strong>]
</pre>
</div></div>"
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/description/,Medium,28.8%,Add Two Numbers,两数相加,https://leetcode-cn.com/problems/add-two-numbers/description/,中等,28.6%,Add Two Numbers,"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>给定两个<strong>非空</strong>链表来表示两个非负整数。位数按照<strong>逆序</strong>方式存储，它们的每个节点只存储单个数字。将两数相加返回一个新的链表。</p>
<p>你可以假设除了数字 0 之外，这两个数字都不会以零开头。</p>
<p><strong>示例：</strong></p>
<pre><strong>输入：</strong>(2 -&gt; 4 -&gt; 3) + (5 -&gt; 6 -&gt; 4)
<strong>输出：</strong>7 -&gt; 0 -&gt; 8
<strong>原因：</strong>342 + 465 = 807
</pre>
</div></div>"
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/description/,Medium,24.8%,Longest Substring Without Repeating Characters,无重复字符的最长子串,https://leetcode-cn.com/problems/longest-substring-without-repeating-characters/description/,中等,23.1%,Longest Substring Without Repeating Characters,"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>给定一个字符串，找出不含有重复字符的<strong>最长子串</strong>的长度。</p>
<p><strong>示例：</strong></p>
<p>给定 <code>""abcabcbb""</code> ，没有重复字符的最长子串是 <code>""abc""</code> ，那么长度就是3。</p>
<p>给定 <code>""bbbbb""</code> ，最长的子串就是 <code>""b""</code> ，长度是1。</p>
<p>给定 <code>""pwwkew""</code> ，最长子串是 <code>""wke""</code> ，长度是3。请注意答案必须是一个<strong>子串</strong>，<code>""pwke""</code> 是 <em>子序列  </em>而不是子串。</p>
</div></div>"
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/description/,Hard,23.3%,Median of Two Sorted Arrays,两个排序数组的中位数,https://leetcode-cn.com/problems/median-of-two-sorted-arrays/description/,困难,30.2%,Median of Two Sorted Arrays,"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>给定两个大小为 m 和 n 的有序数组 <strong>nums1 </strong>和 <strong>nums2 </strong>。</p>
<p>请找出这两个有序数组的中位数。要求算法的时间复杂度为 O(log (m+n)) 。</p>
<p><strong>示例 1:</strong></p>
<pre>nums1 = [1, 3]
nums2 = [2]

中位数是 2.0
</pre>
<p><strong>示例 2:</strong></p>
<pre>nums1 = [1, 2]
nums2 = [3, 4]

中位数是 (2 + 3)/2 = 2.5
</pre>
</div></div>"
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/description/,Medium,25.4%,Longest Palindromic Substring,最长回文子串,https://leetcode-cn.com/problems/longest-palindromic-substring/description/,中等,23.2%,Longest Palindromic Substring,"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>给定一个字符串 <strong>s</strong>，找到 <strong>s</strong> 中最长的回文子串。你可以假设 <strong>s </strong>的最大长度为1000。</p>
<p><strong>示例 1：</strong></p>
<pre><strong>输入:</strong> ""babad""
<strong>输出:</strong> ""bab""
<strong>注意:</strong> ""aba""也是一个有效答案。
</pre>
<p><strong>示例 2：</strong></p>
<pre><strong>输入:</strong> ""cbbd""
<strong>输出:</strong> ""bb""
</pre>
</div></div>"
6,ZigZag Conversion,https://leetcode.com/problems/zigzag-conversion/description/,Medium,27.7%,ZigZag Conversion,Z字形变换,https://leetcode-cn.com/problems/zigzag-conversion/description/,中等,32.0%,ZigZag Conversion,"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>将字符串 <code>""PAYPALISHIRING""</code> 以Z字形排列成给定的行数：</p>
<pre>P   A   H   N
A P L S I I G
Y   I   R
</pre>
<p>之后从左往右，逐行读取字符：<code>""PAHNAPLSIIGYIR""</code></p>
<p>实现一个将字符串进行指定行数变换的函数:</p>
<pre>string convert(string s, int numRows);</pre>
<p><strong>示例 1:</strong></p>
<pre><strong>输入:</strong> s = ""PAYPALISHIRING"", numRows = 3
<strong>输出:</strong> ""PAHNAPLSIIGYIR""
</pre>
<p><strong>示例 2:</strong></p>
<pre><strong>输入:</strong> s = ""PAYPALISHIRING"", numRows = 4
<strong>输出:</strong> ""PINALSIGYAHRPI""
<strong>解释:</strong>

P     I    N
A   L S  I G
Y A   H R
P     I</pre>
</div></div>"
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/description/,Easy,24.4%,Reverse Integer,反转整数,https://leetcode-cn.com/problems/reverse-integer/description/,简单,27.0%,Reverse Integer,"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>给定一个 32 位有符号整数，将整数中的数字进行反转。</p>
<p><strong>示例 1:</strong></p>
<pre><strong>输入:</strong> 123
<strong>输出:</strong> 321
</pre>
<p><strong> 示例 2:</strong></p>
<pre><strong>输入:</strong> -123
<strong>输出:</strong> -321
</pre>
<p><strong>示例 3:</strong></p>
<pre><strong>输入:</strong> 120
<strong>输出:</strong> 21
</pre>
<p><strong>注意:</strong></p>
<p>假设我们的环境只能存储 32 位有符号整数，其数值范围是 [−2<sup>31</sup>,  2<sup>31 </sup>− 1]。根据这个假设，如果反转后的整数溢出，则返回 0。</p>
</div></div>"
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/description/,Medium,14.1%,String to Integer (atoi),字符串转整数 (atoi),https://leetcode-cn.com/problems/string-to-integer-atoi/description/,中等,15.8%,String to Integer (atoi),"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>实现 <code>atoi</code>，将字符串转为整数。</p>
<p>在找到第一个非空字符之前，需要移除掉字符串中的空格字符。如果第一个非空字符是正号或负号，选取该符号，并将其与后面尽可能多的连续的数字组合起来，这部分字符即为整数的值。如果第一个非空字符是数字，则直接将其与之后连续的数字字符组合起来，形成整数。</p>
<p>字符串可以在形成整数的字符后面包括多余的字符，这些字符可以被忽略，它们对于函数没有影响。</p>
<p>当字符串中的第一个非空字符序列不是个有效的整数；或字符串为空；或字符串仅包含空白字符时，则不进行转换。</p>
<p>若函数不能执行有效的转换，返回 0。</p>
<p><strong>说明：</strong></p>
<p>假设我们的环境只能存储 32 位有符号整数，其数值范围是 [−2<sup>31</sup>,  2<sup>31 </sup>− 1]。如果数值超过可表示的范围，则返回  INT_MAX (2<sup>31 </sup>− 1) 或 INT_MIN (−2<sup>31</sup>) 。</p>
<p><strong>示例 1:</strong></p>
<pre><strong>输入:</strong> ""42""
<strong>输出:</strong> 42
</pre>
<p><strong>示例 2:</strong></p>
<pre><strong>输入:</strong> ""   -42""
<strong>输出:</strong> -42
<strong>解释: </strong>第一个非空白字符为 '-', 它是一个负号。
     我们尽可能将负号与后面所有连续出现的数字组合起来，最后得到 -42 。
</pre>
<p><strong>示例 3:</strong></p>
<pre><strong>输入:</strong> ""4193 with words""
<strong>输出:</strong> 4193
<strong>解释:</strong> 转换截止于数字 '3' ，因为它的下一个字符不为数字。
</pre>
<p><strong>示例 4:</strong></p>
<pre><strong>输入:</strong> ""words and 987""
<strong>输出:</strong> 0
<strong>解释:</strong> 第一个非空字符是 'w', 但它不是数字或正、负号。
     因此无法执行有效的转换。</pre>
<p><strong>示例 5:</strong></p>
<pre><strong>输入:</strong> ""-91283472332""
<strong>输出:</strong> -2147483648
<strong>解释:</strong> 数字 ""-91283472332"" 超过 32 位有符号整数范围。 
     因此返回 INT_MIN (−2<sup>31</sup>) 。
</pre>
</div></div>"
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/description/,Easy,36.5%,Palindrome Number,回文数,https://leetcode-cn.com/problems/palindrome-number/description/,简单,48.6%,Palindrome Number,"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>判断一个整数是否是回文数。回文数是指正序（从左向右）和倒序（从右向左）读都是一样的整数。</p>
<p><strong>示例 1:</strong></p>
<pre><strong>输入:</strong> 121
<strong>输出:</strong> true
</pre>
<p><strong>示例 2:</strong></p>
<pre><strong>输入:</strong> -121
<strong>输出:</strong> false
<strong>解释:</strong> 从左向右读, 为 -121 。 从右向左读, 为 121- 。因此它不是一个回文数。
</pre>
<p><strong>示例 3:</strong></p>
<pre><strong>输入:</strong> 10
<strong>输出:</strong> false
<strong>解释:</strong> 从右向左读, 为 01 。因此它不是一个回文数。
</pre>
<p><strong>进阶:</strong></p>
<p>你能不将整数转为字符串来解决这个问题吗？</p>
</div></div>"
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/description/,Hard,24.3%,Regular Expression Matching,正则表达式匹配,https://leetcode-cn.com/problems/regular-expression-matching/description/,困难,17.1%,Regular Expression Matching,"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>给定一个字符串 (<code>s</code>) 和一个字符模式 (<code>p</code>)。实现支持 <code>'.'</code> 和 <code>'*'</code> 的正则表达式匹配。</p>
<pre>'.' 匹配任意单个字符。
'*' 匹配零个或多个前面的元素。
</pre>
<p>匹配应该覆盖<strong>整个</strong>字符串 (<code>s</code>) ，而不是部分字符串。</p>
<p><strong>说明:</strong></p>
<ul>
<li><code>s</code> 可能为空，且只包含从 <code>a-z</code> 的小写字母。</li>
<li><code>p</code> 可能为空，且只包含从 <code>a-z</code> 的小写字母，以及字符 <code>.</code> 和 <code>*</code>。</li>
</ul>
<p><strong>示例 1:</strong></p>
<pre><strong>输入:</strong>
s = ""aa""
p = ""a""
<strong>输出:</strong> false
<strong>解释:</strong> ""a"" 无法匹配 ""aa"" 整个字符串。
</pre>
<p><strong>示例 2:</strong></p>
<pre><strong>输入:</strong>
s = ""aa""
p = ""a*""
<strong>输出:</strong> true
<strong>解释:</strong> '*' 代表可匹配零个或多个前面的元素, 即可以匹配 'a' 。因此, 重复 'a' 一次, 字符串可变为 ""aa""。
</pre>
<p><strong>示例 3:</strong></p>
<pre><strong>输入:</strong>
s = ""ab""
p = "".*""
<strong>输出:</strong> true
<strong>解释:</strong> "".*"" 表示可匹配零个或多个('*')任意字符('.')。
</pre>
<p><strong>示例 4:</strong></p>
<pre><strong>输入:</strong>
s = ""aab""
p = ""c*a*b""
<strong>输出:</strong> true
<strong>解释:</strong> 'c' 可以不被重复, 'a' 可以被重复一次。因此可以匹配字符串 ""aab""。
</pre>
<p><strong>示例 5:</strong></p>
<pre><strong>输入:</strong>
s = ""mississippi""
p = ""mis*is*p*.""
<strong>输出:</strong> false</pre>
</div></div>"
