1,两数之和,https://leetcode-cn.com/problems/two-sum/description/,简单,45.0%,Two Sum
2,两数相加,https://leetcode-cn.com/problems/add-two-numbers/description/,中等,28.5%,Add Two Numbers
3,无重复字符的最长子串,https://leetcode-cn.com/problems/longest-substring-without-repeating-characters/description/,中等,23.1%,Longest Substring Without Repeating Characters
4,两个排序数组的中位数,https://leetcode-cn.com/problems/median-of-two-sorted-arrays/description/,困难,30.1%,Median of Two Sorted Arrays
5,最长回文子串,https://leetcode-cn.com/problems/longest-palindromic-substring/description/,中等,23.1%,Longest Palindromic Substring
6,Z字形变换,https://leetcode-cn.com/problems/zigzag-conversion/description/,中等,32.0%,ZigZag Conversion
7,反转整数,https://leetcode-cn.com/problems/reverse-integer/description/,简单,27.0%,Reverse Integer
8,字符串转整数 (atoi),https://leetcode-cn.com/problems/string-to-integer-atoi/description/,中等,15.8%,String to Integer (atoi)
9,回文数,https://leetcode-cn.com/problems/palindrome-number/description/,简单,48.6%,Palindrome Number
10,正则表达式匹配,https://leetcode-cn.com/problems/regular-expression-matching/description/,困难,17.1%,Regular Expression Matching
11,盛最多水的容器,https://leetcode-cn.com/problems/container-with-most-water/description/,中等,29.9%,Container With Most Water
12,整数转罗马数字,https://leetcode-cn.com/problems/integer-to-roman/description/,中等,54.1%,Integer to Roman
13,罗马数字转整数,https://leetcode-cn.com/problems/roman-to-integer/description/,简单,53.6%,Roman to Integer
14,最长公共前缀,https://leetcode-cn.com/problems/longest-common-prefix/description/,简单,28.3%,Longest Common Prefix
15,三数之和,https://leetcode-cn.com/problems/3sum/description/,中等,14.2%,3Sum
16,最接近的三数之和,https://leetcode-cn.com/problems/3sum-closest/description/,中等,32.8%,3Sum Closest
17,电话号码的字母组合,https://leetcode-cn.com/problems/letter-combinations-of-a-phone-number/description/,中等,41.7%,Letter Combinations of a Phone Number
18,四数之和,https://leetcode-cn.com/problems/4sum/description/,中等,29.0%,4Sum
19,删除链表的倒数第N个节点,https://leetcode-cn.com/problems/remove-nth-node-from-end-of-list/description/,中等,28.2%,Remove Nth Node From End of List
20,有效的括号,https://leetcode-cn.com/problems/valid-parentheses/description/,简单,30.6%,Valid Parentheses
21,合并两个有序链表,https://leetcode-cn.com/problems/merge-two-sorted-lists/description/,简单,48.0%,Merge Two Sorted Lists
22,括号生成,https://leetcode-cn.com/problems/generate-parentheses/description/,中等,60.1%,Generate Parentheses
23,合并K个排序链表,https://leetcode-cn.com/problems/merge-k-sorted-lists/description/,困难,35.7%,Merge k Sorted Lists
24,两两交换链表中的节点,https://leetcode-cn.com/problems/swap-nodes-in-pairs/description/,中等,47.7%,Swap Nodes in Pairs
25,k个一组翻转链表,https://leetcode-cn.com/problems/reverse-nodes-in-k-group/description/,困难,42.4%,Reverse Nodes in k-Group
26,删除排序数组中的重复项,https://leetcode-cn.com/problems/remove-duplicates-from-sorted-array/description/,简单,37.8%,Remove Duplicates from Sorted Array
27,移除元素,https://leetcode-cn.com/problems/remove-element/description/,简单,47.5%,Remove Element
28,实现strStr(),https://leetcode-cn.com/problems/implement-strstr/description/,简单,33.8%,Implement strStr()
29,两数相除,https://leetcode-cn.com/problems/divide-two-integers/description/,中等,14.2%,Divide Two Integers
30,与所有单词相关联的字串,https://leetcode-cn.com/problems/substring-with-concatenation-of-all-words/description/,困难,17.9%,Substring with Concatenation of All Words
31,下一个排列,https://leetcode-cn.com/problems/next-permutation/description/,中等,27.6%,Next Permutation
32,最长有效括号,https://leetcode-cn.com/problems/longest-valid-parentheses/description/,困难,19.6%,Longest Valid Parentheses
33,搜索旋转排序数组,https://leetcode-cn.com/problems/search-in-rotated-sorted-array/description/,中等,30.9%,Search in Rotated Sorted Array
34,搜索范围,https://leetcode-cn.com/problems/search-for-a-range/description/,中等,32.4%,Search for a Range
35,搜索插入位置,https://leetcode-cn.com/problems/search-insert-position/description/,简单,40.2%,Search Insert Position
36,有效的数独,https://leetcode-cn.com/problems/valid-sudoku/description/,中等,45.4%,Valid Sudoku
37,解数独,https://leetcode-cn.com/problems/sudoku-solver/description/,困难,44.1%,Sudoku Solver
38,报数,https://leetcode-cn.com/problems/count-and-say/description/,简单,44.8%,Count and Say
39,组合总和,https://leetcode-cn.com/problems/combination-sum/description/,中等,57.3%,Combination Sum
40,组合总和 II,https://leetcode-cn.com/problems/combination-sum-ii/description/,中等,48.7%,Combination Sum II
41,缺失的第一个正数,https://leetcode-cn.com/problems/first-missing-positive/description/,困难,28.8%,First Missing Positive
42,接雨水,https://leetcode-cn.com/problems/trapping-rain-water/description/,困难,32.9%,Trapping Rain Water
43,字符串相乘,https://leetcode-cn.com/problems/multiply-strings/description/,中等,30.8%,Multiply Strings
44,通配符匹配,https://leetcode-cn.com/problems/wildcard-matching/description/,困难,15.5%,Wildcard Matching
45,跳跃游戏 II,https://leetcode-cn.com/problems/jump-game-ii/description/,困难,24.2%,Jump Game II
46,全排列,https://leetcode-cn.com/problems/permutations/description/,中等,61.1%,Permutations
47,全排列 II,https://leetcode-cn.com/problems/permutations-ii/description/,中等,41.5%,Permutations II
48,旋转图像,https://leetcode-cn.com/problems/rotate-image/description/,中等,55.3%,Rotate Image
49,字母异位词分组,https://leetcode-cn.com/problems/group-anagrams/description/,中等,43.7%,Group Anagrams
50,"Pow(x, n)",https://leetcode-cn.com/problems/powx-n/description/,中等,24.6%,"Pow(x, n)"
51,N皇后,https://leetcode-cn.com/problems/n-queens/description/,困难,47.8%,N-Queens
52,N皇后 II,https://leetcode-cn.com/problems/n-queens-ii/description/,困难,66.5%,N-Queens II
53,最大子序和,https://leetcode-cn.com/problems/maximum-subarray/description/,简单,35.6%,Maximum Subarray
54,螺旋矩阵,https://leetcode-cn.com/problems/spiral-matrix/description/,中等,28.9%,Spiral Matrix
55,跳跃游戏,https://leetcode-cn.com/problems/jump-game/description/,中等,28.7%,Jump Game
56,合并区间,https://leetcode-cn.com/problems/merge-intervals/description/,中等,29.5%,Merge Intervals
57,插入区间,https://leetcode-cn.com/problems/insert-interval/description/,困难,25.7%,Insert Interval
58,最后一个单词的长度,https://leetcode-cn.com/problems/length-of-last-word/description/,简单,28.3%,Length of Last Word
59,螺旋矩阵 II,https://leetcode-cn.com/problems/spiral-matrix-ii/description/,中等,54.9%,Spiral Matrix II
60,第k个排列,https://leetcode-cn.com/problems/permutation-sequence/description/,中等,38.7%,Permutation Sequence
61,旋转链表,https://leetcode-cn.com/problems/rotate-list/description/,中等,28.6%,Rotate List
62,不同路径,https://leetcode-cn.com/problems/unique-paths/description/,中等,47.1%,Unique Paths
63,不同路径 II,https://leetcode-cn.com/problems/unique-paths-ii/description/,中等,28.9%,Unique Paths II
64,最小路径和,https://leetcode-cn.com/problems/minimum-path-sum/description/,中等,54.5%,Minimum Path Sum
65,有效数字,https://leetcode-cn.com/problems/valid-number/description/,困难,9.5%,Valid Number
66,加一,https://leetcode-cn.com/problems/plus-one/description/,简单,34.8%,Plus One
67,二进制求和,https://leetcode-cn.com/problems/add-binary/description/,简单,38.2%,Add Binary
68,文本左右对齐,https://leetcode-cn.com/problems/text-justification/description/,困难,23.9%,Text Justification
69,x 的平方根,https://leetcode-cn.com/problems/sqrtx/description/,简单,30.2%,Sqrt(x)
70,爬楼梯,https://leetcode-cn.com/problems/climbing-stairs/description/,简单,40.5%,Climbing Stairs
71,简化路径,https://leetcode-cn.com/problems/simplify-path/description/,中等,20.9%,Simplify Path
72,编辑距离,https://leetcode-cn.com/problems/edit-distance/description/,困难,37.0%,Edit Distance
73,矩阵置零,https://leetcode-cn.com/problems/set-matrix-zeroes/description/,中等,46.2%,Set Matrix Zeroes
74,搜索二维矩阵,https://leetcode-cn.com/problems/search-a-2d-matrix/description/,中等,29.2%,Search a 2D Matrix
75,分类颜色,https://leetcode-cn.com/problems/sort-colors/description/,中等,45.7%,Sort Colors
76,最小覆盖子串,https://leetcode-cn.com/problems/minimum-window-substring/description/,困难,25.9%,Minimum Window Substring
77,组合,https://leetcode-cn.com/problems/combinations/description/,中等,59.9%,Combinations
